Título;Link;Conjunto de dados atualizados em:;Conjunto de dados criado e fornecido por:;Licença;Período de cobertura;Área de cobertura;Descrição
Produção de leite - conjunto 001;https://dados.exemplo.gov.br/producao/1;2024-02-02;Secretaria Estadual de Agricultura;Dados Abertos;2018-2024;Brasil;Volume anual de leite produzido por município e número de propriedades produtoras.
Rebanho de vacas ordenhadas - conjunto 002;https://estatisticas.exemplo.gov.br/rebanho/2;2025-03-03;Instituto Nacional de Estatística Rural;CC BY 4.0;2018-2025;Minas Gerais;Quantidade de vacas em lactação e tamanho do plantel leiteiro por região.
Preço do leite ao produtor - conjunto 003;https://mercado.exemplo.com.br/precos/3;2023-04-04;AgroMercado Consultoria Ltda.;Uso comercial restrito;2018-2023;São Paulo;Série mensal do preço médio pago por litro de leite ao produtor rural.
Imagens de raças leiteiras - conjunto 004;https://imagens.exemplo.org/racas/4;2024-05-05;Coleção Rural Particular;CC BY-NC 4.0;2018-2024;Paraná;Banco de fotografias identificadas de raças bovinas utilizadas na produção de leite.
Casos de mastite bovina - conjunto 005;https://universidade.exemplo.br/mastite/5;2025-06-06;Laboratório Universitário de Saúde Animal;CC0;2018-2025;Goiás;Registros experimentais de mastite, agentes infecciosos e tratamentos avaliados.
Nutrição de vacas leiteiras - conjunto 006;https://repositorio.exemplo.edu.br/nutricao/6;2023-07-07;Grupo de Pesquisa em Nutrição Animal;Dados Abertos;2018-2023;Região Sul;Composição de dietas e consumo de nutrientes por vacas em diferentes fases de lactação.
Comércio de produtos lácteos - conjunto 007;https://comercio.exemplo.gov.br/lacteos/7;2024-08-08;Ministério do Desenvolvimento e Comércio;CC BY 4.0;2018-2024;Brasil;Volumes comercializados de leite, queijo, manteiga e leite em pó.
Propriedades de agricultura familiar - conjunto 008;https://ong.exemplo.org/agricultura-familiar/8;2025-09-09;Instituto Leite e Desenvolvimento Social;Uso comercial restrito;2018-2025;Minas Gerais;Perfil produtivo de pequenas propriedades leiteiras atendidas por projeto social.
Genética de bovinos leiteiros - conjunto 009;https://genetica.exemplo.com/avaliacoes/9;2023-10-10;GenBov Comercial Ltda.;CC BY-NC 4.0;2018-2023;São Paulo;Avaliação genética de animais para produção, gordura, proteína e longevidade.
Emissões da pecuária leiteira - conjunto 010;https://pesquisa.exemplo.edu.br/emissoes/10;2024-11-11;Centro Acadêmico de Estudos Climáticos;CC0;2018-2024;Paraná;Medições de metano e indicadores ambientais em sistemas leiteiros.
Produção de leite - conjunto 011;https://dados.exemplo.gov.br/producao/11;2025-12-12;Secretaria Estadual de Agricultura;Dados Abertos;2018-2025;Goiás;Volume anual de leite produzido por município e número de propriedades produtoras.
Rebanho de vacas ordenhadas - conjunto 012;https://estatisticas.exemplo.gov.br/rebanho/12;2023-01-13;Instituto Nacional de Estatística Rural;CC BY 4.0;2018-2023;Região Sul;Quantidade de vacas em lactação e tamanho do plantel leiteiro por região.
Preço do leite ao produtor - conjunto 013;https://mercado.exemplo.com.br/precos/13;2024-02-14;AgroMercado Consultoria Ltda.;Uso comercial restrito;2018-2024;Brasil;Série mensal do preço médio pago por litro de leite ao produtor rural.
Imagens de raças leiteiras - conjunto 014;https://imagens.exemplo.org/racas/14;2025-03-15;Coleção Rural Particular;CC BY-NC 4.0;2018-2025;Minas Gerais;Banco de fotografias identificadas de raças bovinas utilizadas na produção de leite.
Casos de mastite bovina - conjunto 015;https://universidade.exemplo.br/mastite/15;2023-04-16;Laboratório Universitário de Saúde Animal;CC0;2018-2023;São Paulo;Registros experimentais de mastite, agentes infecciosos e tratamentos avaliados.
Nutrição de vacas leiteiras - conjunto 016;https://repositorio.exemplo.edu.br/nutricao/16;2024-05-17;Grupo de Pesquisa em Nutrição Animal;Dados Abertos;2018-2024;Paraná;Composição de dietas e consumo de nutrientes por vacas em diferentes fases de lactação.
Comércio de produtos lácteos - conjunto 017;https://comercio.exemplo.gov.br/lacteos/17;2025-06-18;Ministério do Desenvolvimento e Comércio;CC BY 4.0;2018-2025;Goiás;Volumes comercializados de leite, queijo, manteiga e leite em pó.
Propriedades de agricultura familiar - conjunto 018;https://ong.exemplo.org/agricultura-familiar/18;2023-07-19;Instituto Leite e Desenvolvimento Social;Uso comercial restrito;2018-2023;Região Sul;Perfil produtivo de pequenas propriedades leiteiras atendidas por projeto social.
Genética de bovinos leiteiros - conjunto 019;https://genetica.exemplo.com/avaliacoes/19;2024-08-20;GenBov Comercial Ltda.;CC BY-NC 4.0;2018-2024;Brasil;Avaliação genética de animais para produção, gordura, proteína e longevidade.
Emissões da pecuária leiteira - conjunto 020;https://pesquisa.exemplo.edu.br/emissoes/20;2025-09-21;Centro Acadêmico de Estudos Climáticos;CC0;2018-2025;Minas Gerais;Medições de metano e indicadores ambientais em sistemas leiteiros.
Produção de leite - conjunto 021;https://dados.exemplo.gov.br/producao/21;2023-10-22;Secretaria Estadual de Agricultura;Dados Abertos;2018-2023;São Paulo;Volume anual de leite produzido por município e número de propriedades produtoras.
Rebanho de vacas ordenhadas - conjunto 022;https://estatisticas.exemplo.gov.br/rebanho/22;2024-11-23;Instituto Nacional de Estatística Rural;CC BY 4.0;2018-2024;Paraná;Quantidade de vacas em lactação e tamanho do plantel leiteiro por região.
Preço do leite ao produtor - conjunto 023;https://mercado.exemplo.com.br/precos/23;2025-12-24;AgroMercado Consultoria Ltda.;Uso comercial restrito;2018-2025;Goiás;Série mensal do preço médio pago por litro de leite ao produtor rural.
Imagens de raças leiteiras - conjunto 024;https://imagens.exemplo.org/racas/24;2023-01-25;Coleção Rural Particular;CC BY-NC 4.0;2018-2023;Região Sul;Banco de fotografias identificadas de raças bovinas utilizadas na produção de leite.
Casos de mastite bovina - conjunto 025;https://universidade.exemplo.br/mastite/25;2024-02-26;Laboratório Universitário de Saúde Animal;CC0;2018-2024;Brasil;Registros experimentais de mastite, agentes infecciosos e tratamentos avaliados.
Nutrição de vacas leiteiras - conjunto 026;https://repositorio.exemplo.edu.br/nutricao/26;2025-03-27;Grupo de Pesquisa em Nutrição Animal;Dados Abertos;2018-2025;Minas Gerais;Composição de dietas e consumo de nutrientes por vacas em diferentes fases de lactação.
Comércio de produtos lácteos - conjunto 027;https://comercio.exemplo.gov.br/lacteos/27;2023-04-01;Ministério do Desenvolvimento e Comércio;CC BY 4.0;2018-2023;São Paulo;Volumes comercializados de leite, queijo, manteiga e leite em pó.
Propriedades de agricultura familiar - conjunto 028;https://ong.exemplo.org/agricultura-familiar/28;2024-05-02;Instituto Leite e Desenvolvimento Social;Uso comercial restrito;2018-2024;Paraná;Perfil produtivo de pequenas propriedades leiteiras atendidas por projeto social.
Genética de bovinos leiteiros - conjunto 029;https://genetica.exemplo.com/avaliacoes/29;2025-06-03;GenBov Comercial Ltda.;CC BY-NC 4.0;2018-2025;Goiás;Avaliação genética de animais para produção, gordura, proteína e longevidade.
Emissões da pecuária leiteira - conjunto 030;https://pesquisa.exemplo.edu.br/emissoes/30;2023-07-04;Centro Acadêmico de Estudos Climáticos;CC0;2018-2023;Região Sul;Medições de metano e indicadores ambientais em sistemas leiteiros.
Produção de leite - conjunto 031;https://dados.exemplo.gov.br/producao/31;2024-08-05;Secretaria Estadual de Agricultura;Dados Abertos;2018-2024;Brasil;Volume anual de leite produzido por município e número de propriedades produtoras.
Rebanho de vacas ordenhadas - conjunto 032;https://estatisticas.exemplo.gov.br/rebanho/32;2025-09-06;Instituto Nacional de Estatística Rural;CC BY 4.0;2018-2025;Minas Gerais;Quantidade de vacas em lactação e tamanho do plantel leiteiro por região.
Preço do leite ao produtor - conjunto 033;https://mercado.exemplo.com.br/precos/33;2023-10-07;AgroMercado Consultoria Ltda.;Uso comercial restrito;2018-2023;São Paulo;Série mensal do preço médio pago por litro de leite ao produtor rural.
Imagens de raças leiteiras - conjunto 034;https://imagens.exemplo.org/racas/34;2024-11-08;Coleção Rural Particular;CC BY-NC 4.0;2018-2024;Paraná;Banco de fotografias identificadas de raças bovinas utilizadas na produção de leite.
Casos de mastite bovina - conjunto 035;https://universidade.exemplo.br/mastite/35;2025-12-09;Laboratório Universitário de Saúde Animal;CC0;2018-2025;Goiás;Registros experimentais de mastite, agentes infecciosos e tratamentos avaliados.
Nutrição de vacas leiteiras - conjunto 036;https://repositorio.exemplo.edu.br/nutricao/36;2023-01-10;Grupo de Pesquisa em Nutrição Animal;Dados Abertos;2018-2023;Região Sul;Composição de dietas e consumo de nutrientes por vacas em diferentes fases de lactação.
Comércio de produtos lácteos - conjunto 037;https://comercio.exemplo.gov.br/lacteos/37;2024-02-11;Ministério do Desenvolvimento e Comércio;CC BY 4.0;2018-2024;Brasil;Volumes comercializados de leite, queijo, manteiga e leite em pó.
Propriedades de agricultura familiar - conjunto 038;https://ong.exemplo.org/agricultura-familiar/38;2025-03-12;Instituto Leite e Desenvolvimento Social;Uso comercial restrito;2018-2025;Minas Gerais;Perfil produtivo de pequenas propriedades leiteiras atendidas por projeto social.
Genética de bovinos leiteiros - conjunto 039;https://genetica.exemplo.com/avaliacoes/39;2023-04-13;GenBov Comercial Ltda.;CC BY-NC 4.0;2018-2023;São Paulo;Avaliação genética de animais para produção, gordura, proteína e longevidade.
Emissões da pecuária leiteira - conjunto 040;https://pesquisa.exemplo.edu.br/emissoes/40;2024-05-14;Centro Acadêmico de Estudos Climáticos;CC0;2018-2024;Paraná;Medições de metano e indicadores ambientais em sistemas leiteiros.
Produção de leite - conjunto 041;https://dados.exemplo.gov.br/producao/41;2025-06-15;Secretaria Estadual de Agricultura;Dados Abertos;2018-2025;Goiás;Volume anual de leite produzido por município e número de propriedades produtoras.
Rebanho de vacas ordenhadas - conjunto 042;https://estatisticas.exemplo.gov.br/rebanho/42;2023-07-16;Instituto Nacional de Estatística Rural;CC BY 4.0;2018-2023;Região Sul;Quantidade de vacas em lactação e tamanho do plantel leiteiro por região.
Preço do leite ao produtor - conjunto 043;https://mercado.exemplo.com.br/precos/43;2024-08-17;AgroMercado Consultoria Ltda.;Uso comercial restrito;2018-2024;Brasil;Série mensal do preço médio pago por litro de leite ao produtor rural.
Imagens de raças leiteiras - conjunto 044;https://imagens.exemplo.org/racas/44;2025-09-18;Coleção Rural Particular;CC BY-NC 4.0;2018-2025;Minas Gerais;Banco de fotografias identificadas de raças bovinas utilizadas na produção de leite.
Casos de mastite bovina - conjunto 045;https://universidade.exemplo.br/mastite/45;2023-10-19;Laboratório Universitário de Saúde Animal;CC0;2018-2023;São Paulo;Registros experimentais de mastite, agentes infecciosos e tratamentos avaliados.
Nutrição de vacas leiteiras - conjunto 046;https://repositorio.exemplo.edu.br/nutricao/46;2024-11-20;Grupo de Pesquisa em Nutrição Animal;Dados Abertos;2018-2024;Paraná;Composição de dietas e consumo de nutrientes por vacas em diferentes fases de lactação.
Comércio de produtos lácteos - conjunto 047;https://comercio.exemplo.gov.br/lacteos/47;2025-12-21;Ministério do Desenvolvimento e Comércio;CC BY 4.0;2018-2025;Goiás;Volumes comercializados de leite, queijo, manteiga e leite em pó.
Propriedades de agricultura familiar - conjunto 048;https://ong.exemplo.org/agricultura-familiar/48;2023-01-22;Instituto Leite e Desenvolvimento Social;Uso comercial restrito;2018-2023;Região Sul;Perfil produtivo de pequenas propriedades leiteiras atendidas por projeto social.
Genética de bovinos leiteiros - conjunto 049;https://genetica.exemplo.com/avaliacoes/49;2024-02-23;GenBov Comercial Ltda.;CC BY-NC 4.0;2018-2024;Brasil;Avaliação genética de animais para produção, gordura, proteína e longevidade.
Emissões da pecuária leiteira - conjunto 050;https://pesquisa.exemplo.edu.br/emissoes/50;2025-03-24;Centro Acadêmico de Estudos Climáticos;CC0;2018-2025;Minas Gerais;Medições de metano e indicadores ambientais em sistemas leiteiros.
Produção de leite - conjunto 051;https://dados.exemplo.gov.br/producao/51;2023-04-25;Secretaria Estadual de Agricultura;Dados Abertos;2018-2023;São Paulo;Volume anual de leite produzido por município e número de propriedades produtoras.
Rebanho de vacas ordenhadas - conjunto 052;https://estatisticas.exemplo.gov.br/rebanho/52;2024-05-26;Instituto Nacional de Estatística Rural;CC BY 4.0;2018-2024;Paraná;Quantidade de vacas em lactação e tamanho do plantel leiteiro por região.
Preço do leite ao produtor - conjunto 053;https://mercado.exemplo.com.br/precos/53;2025-06-27;AgroMercado Consultoria Ltda.;Uso comercial restrito;2018-2025;Goiás;Série mensal do preço médio pago por litro de leite ao produtor rural.
Imagens de raças leiteiras - conjunto 054;https://imagens.exemplo.org/racas/54;2023-07-01;Coleção Rural Particular;CC BY-NC 4.0;2018-2023;Região Sul;Banco de fotografias identificadas de raças bovinas utilizadas na produção de leite.
Casos de mastite bovina - conjunto 055;https://universidade.exemplo.br/mastite/55;2024-08-02;Laboratório Universitário de Saúde Animal;CC0;2018-2024;Brasil;Registros experimentais de mastite, agentes infecciosos e tratamentos avaliados.
Nutrição de vacas leiteiras - conjunto 056;https://repositorio.exemplo.edu.br/nutricao/56;2025-09-03;Grupo de Pesquisa em Nutrição Animal;Dados Abertos;2018-2025;Minas Gerais;Composição de dietas e consumo de nutrientes por vacas em diferentes fases de lactação.
Comércio de produtos lácteos - conjunto 057;https://comercio.exemplo.gov.br/lacteos/57;2023-10-04;Ministério do Desenvolvimento e Comércio;CC BY 4.0;2018-2023;São Paulo;Volumes comercializados de leite, queijo, manteiga e leite em pó.
Propriedades de agricultura familiar - conjunto 058;https://ong.exemplo.org/agricultura-familiar/58;2024-11-05;Instituto Leite e Desenvolvimento Social;Uso comercial restrito;2018-2024;Paraná;Perfil produtivo de pequenas propriedades leiteiras atendidas por projeto social.
Genética de bovinos leiteiros - conjunto 059;https://genetica.exemplo.com/avaliacoes/59;2025-12-06;GenBov Comercial Ltda.;CC BY-NC 4.0;2018-2025;Goiás;Avaliação genética de animais para produção, gordura, proteína e longevidade.
Emissões da pecuária leiteira - conjunto 060;https://pesquisa.exemplo.edu.br/emissoes/60;2023-01-07;Centro Acadêmico de Estudos Climáticos;CC0;2018-2023;Região Sul;Medições de metano e indicadores ambientais em sistemas leiteiros.
Produção de leite - conjunto 061;https://dados.exemplo.gov.br/producao/61;2024-02-08;Secretaria Estadual de Agricultura;Dados Abertos;2018-2024;Brasil;Volume anual de leite produzido por município e número de propriedades produtoras.
Rebanho de vacas ordenhadas - conjunto 062;https://estatisticas.exemplo.gov.br/rebanho/62;2025-03-09;Instituto Nacional de Estatística Rural;CC BY 4.0;2018-2025;Minas Gerais;Quantidade de vacas em lactação e tamanho do plantel leiteiro por região.
Preço do leite ao produtor - conjunto 063;https://mercado.exemplo.com.br/precos/63;2023-04-10;AgroMercado Consultoria Ltda.;Uso comercial restrito;2018-2023;São Paulo;Série mensal do preço médio pago por litro de leite ao produtor rural.
Imagens de raças leiteiras - conjunto 064;https://imagens.exemplo.org/racas/64;2024-05-11;Coleção Rural Particular;CC BY-NC 4.0;2018-2024;Paraná;Banco de fotografias identificadas de raças bovinas utilizadas na produção de leite.
Casos de mastite bovina - conjunto 065;https://universidade.exemplo.br/mastite/65;2025-06-12;Laboratório Universitário de Saúde Animal;CC0;2018-2025;Goiás;Registros experimentais de mastite, agentes infecciosos e tratamentos avaliados.
Nutrição de vacas leiteiras - conjunto 066;https://repositorio.exemplo.edu.br/nutricao/66;2023-07-13;Grupo de Pesquisa em Nutrição Animal;Dados Abertos;2018-2023;Região Sul;Composição de dietas e consumo de nutrientes por vacas em diferentes fases de lactação.
Comércio de produtos lácteos - conjunto 067;https://comercio.exemplo.gov.br/lacteos/67;2024-08-14;Ministério do Desenvolvimento e Comércio;CC BY 4.0;2018-2024;Brasil;Volumes comercializados de leite, queijo, manteiga e leite em pó.
Propriedades de agricultura familiar - conjunto 068;https://ong.exemplo.org/agricultura-familiar/68;2025-09-15;Instituto Leite e Desenvolvimento Social;Uso comercial restrito;2018-2025;Minas Gerais;Perfil produtivo de pequenas propriedades leiteiras atendidas por projeto social.
Genética de bovinos leiteiros - conjunto 069;https://genetica.exemplo.com/avaliacoes/69;2023-10-16;GenBov Comercial Ltda.;CC BY-NC 4.0;2018-2023;São Paulo;Avaliação genética de animais para produção, gordura, proteína e longevidade.
Emissões da pecuária leiteira - conjunto 070;https://pesquisa.exemplo.edu.br/emissoes/70;2024-11-17;Centro Acadêmico de Estudos Climáticos;CC0;2018-2024;Paraná;Medições de metano e indicadores ambientais em sistemas leiteiros.
