Título;Link;Conjunto de dados atualizados em:;Conjunto de dados criado e fornecido por:;Licença;Período de cobertura;Área de cobertura;Descrição
Produção mensal de leite por município;https://dados.exemplo.gov.br/producao-leite;2025-12-15;Secretaria Nacional de Agricultura;Dados Abertos;2020-2025;Brasil;Volume mensal de leite produzido e quantidade de estabelecimentos por município.
Rebanho de vacas ordenhadas;https://estatisticas.exemplo.gov.br/vacas-ordenhadas;2025-10-02;Instituto Nacional de Estatística Rural;CC BY 4.0;2015-2025;Brasil;Estimativa anual do número de vacas ordenhadas por estado e município.
Preços pagos ao produtor de leite;https://mercado.exemplo.com.br/precos-leite;2026-01-10;AgroMercado Consultoria Ltda.;Uso comercial restrito;2022-2025;Regiões Sul e Sudeste;Série mensal de preços pagos aos produtores de leite por litro comercializado.
Banco de imagens de raças leiteiras;https://imagens.exemplo.org/racas-leiteiras;2024-08-20;Coleção Rural Particular;CC BY-NC 4.0;2018-2024;Brasil;Fotografias identificadas de vacas Holandesa, Jersey, Gir Leiteiro e Girolando.
Ocorrências de mastite em bovinos leiteiros;https://universidade.exemplo.br/pesquisa/mastite;2025-06-11;Laboratório Universitário de Saúde Animal;CC BY 4.0;2021-2024;Minas Gerais;Dados experimentais de casos de mastite, agentes infecciosos e tratamentos em propriedades leiteiras.
Composição nutricional de rações para vacas;https://repositorio.exemplo.edu.br/racoes-vacas;2024-11-30;Grupo de Pesquisa em Nutrição Animal;CC0;2020-2024;São Paulo;Resultados de pesquisa sobre proteína, fibras, energia e consumo de diferentes dietas para vacas em lactação.
Exportações brasileiras de produtos lácteos;https://comercio.exemplo.gov.br/lacteos;2026-02-01;Ministério do Desenvolvimento e Comércio;Dados Abertos;2010-2025;Brasil;Valores e volumes exportados de leite em pó, queijos, manteiga e outros derivados por país de destino.
Mapeamento de pequenas propriedades leiteiras;https://ong.exemplo.org/projeto-leite-familiar;2025-03-17;Instituto Leite e Desenvolvimento Social;ODbL;2023-2025;Nordeste do Brasil;Localização e perfil produtivo de pequenas propriedades apoiadas por projeto de agricultura familiar.
Índice genético de touros leiteiros;https://genetica.exemplo.com/catalogo-touros;2025-09-05;GenBov Comercial Ltda.;Proprietária;2019-2025;América Latina;Avaliações genéticas de touros para produção de leite, gordura, proteína e longevidade.
Emissões de metano na pecuária leiteira;https://pesquisa.exemplo.edu.br/metano-leite;2025-07-22;Centro Acadêmico de Estudos Climáticos;CC BY-SA 4.0;2017-2024;Brasil;Medições de emissões de metano em sistemas intensivos e a pasto na produção leiteira.
Qualidade do leite recebido por laticínios;https://inspecao.exemplo.gov.br/qualidade-leite;2025-12-01;Agência Estadual de Inspeção Sanitária;Dados Abertos;2020-2025;Paraná;Resultados agregados de gordura, proteína, contagem bacteriana e células somáticas do leite recebido.
Cadastro de equipamentos para ordenha;https://loja.exemplo.com/equipamentos-ordenha;2026-01-18;Máquinas do Campo S.A.;Todos os direitos reservados;2025-2026;Brasil;Catálogo comercial com modelos, capacidade e preços de ordenhadeiras e tanques de resfriamento.
Efeito da temperatura sobre a produção de leite;https://revista.exemplo.edu/artigo/estresse-termico;2024-12-12;Programa de Pós-Graduação em Zootecnia;CC BY 4.0;2019-2023;Goiás;Base utilizada em estudo científico sobre estresse térmico, temperatura ambiente e produtividade de vacas leiteiras.
Consumo doméstico de leite e derivados;https://consumo.exemplo.org/painel-lacteos;2025-05-08;Observatório Independente do Consumo;Licença não informada;2021-2025;Brasil;Estimativas de consumo familiar de leite, queijo e iogurte obtidas por questionário online.
Calendário de vacinação do rebanho leiteiro;https://defesa.exemplo.gov.br/vacinacao-leite;2026-01-03;Departamento Estadual de Defesa Agropecuária;Dados Abertos;2024-2026;Santa Catarina;Registros de campanhas e cobertura de vacinação em bovinos de propriedades produtoras de leite.
